cityId,searchRadius,hCountLevel0,hCountLevel1,hCountLevel2,hCountLevel3,hCountLevel7,cCountLevel0,cCountLevel1,cCountLevel2,cCountLevel3,cCountLevel7,rCountLevel0,rCountLevel1,rCountLevel2,rCountLevel3,rCountLevel7,aCountLevel0,aCountLevel1,aCountLevel2,aCountLevel3,aCountLevel7,iCountLevel0,iCountLevel1,iCountLevel2,iCountLevel3,iCountLevel7,nCountLevel0,nCountLevel1,nCountLevel2,nCountLevel3,nCountLevel7
23671,20000,66,141,11,7,20,35,68,15,8,22,12,50,4,14,57,99,19,7,5,62,1,0,0,0,6,17,17,9,13,2
23563,50000,7,111,364,6,7,66,197,79,68,63,37,296,15,28,115,29,21,20,14,409,7,8,3,2,52,98,98,73,75,2
23043,20000,9,77,399,5,5,74,192,78,69,60,29,234,13,23,105,30,24,21,15,405,0,1,0,0,33,22,22,10,16,1
25513,20000,0,500,0,0,0,67,193,81,63,69,28,240,14,20,102,63,22,14,10,388,0,1,0,0,34,18,18,8,13,1
23341,30000,12,124,311,25,25,155,205,35,45,42,78,236,15,73,59,25,35,40,50,261,4,3,1,1,12,31,31,39,39,5
23188,20000,18,213,256,6,6,74,211,71,69,47,18,110,8,12,44,33,37,23,27,371,0,3,0,1,11,28,28,20,19,1
22458,20000,86,383,10,1,16,168,284,12,13,19,34,245,3,7,16,78,36,8,6,48,0,0,1,1,9,41,41,31,23,2
143476,50000,291,178,15,5,7,214,257,14,6,9,149,291,5,13,39,134,103,28,29,150,3,2,1,3,26,19,19,29,21,0
22868,20000,67,73,10,12,6,49,76,36,24,9,18,65,10,12,9,18,71,17,8,46,0,4,0,0,2,31,31,8,6,0
22334,20000,110,220,7,8,38,55,77,10,10,6,24,172,2,9,38,39,29,7,8,72,0,3,0,4,14,5,5,20,11,0
22676,30000,7,455,7,18,12,114,182,57,69,60,42,210,79,54,96,26,22,7,9,423,2,3,2,1,33,68,68,76,47,3
22594,30000,23,227,31,31,186,119,197,63,53,47,69,118,11,24,271,1,1,9,6,480,1,7,4,0,34,62,62,22,3,2
143465,50000,252,114,3,5,123,59,65,5,5,7,83,102,1,1,311,6,6,0,3,453,0,1,0,0,5,14,14,69,32,12
21918,20000,17,140,119,12,12,88,94,86,28,20,11,69,10,12,25,39,22,13,4,85,2,0,0,0,4,21,21,11,7,0
21575,20000,48,123,28,18,27,66,80,19,18,26,12,38,15,15,54,16,18,6,5,260,0,0,1,0,15,17,17,12,1,0
20939,20000,80,182,12,8,18,111,145,22,23,14,41,207,5,40,79,23,48,7,14,36,0,1,0,1,2,62,62,31,14,0
23285,20000,15,114,364,0,6,81,199,70,60,61,28,219,13,25,97,87,20,11,9,366,0,1,0,0,30,23,23,11,22,1
21313,50000,127,151,22,51,137,82,211,35,76,70,66,197,10,48,162,7,5,5,8,468,2,2,0,0,49,97,97,120,39,24
21611,20000,249,166,6,6,48,65,123,8,8,14,69,127,10,10,166,0,3,0,1,496,1,3,2,1,20,3,3,9,7,0
21331,20000,44,115,10,4,14,56,133,16,32,4,43,71,9,34,26,8,14,1,2,26,0,2,0,0,0,5,5,16,13,1
21157,20000,51,119,27,18,30,68,80,19,18,27,12,41,15,16,53,17,18,7,4,262,0,0,1,0,15,19,19,10,1,0
21464,20000,170,165,13,21,93,95,234,41,56,27,15,178,11,12,134,7,77,12,10,370,0,2,0,4,23,13,13,42,9,24
21866,20000,54,406,11,3,18,76,374,13,19,10,57,329,11,35,59,51,36,8,11,345,2,3,0,1,27,25,25,42,10,0
143474,50000,197,239,12,16,28,154,236,14,24,30,172,205,10,33,72,55,97,16,22,135,126,78,2,1,19,8,8,247,29,0
