countryCode,type,cityName,cityId,regionName,regionCode,lat,lon,population,elevation,timezone
IN,CITY,Mānikpur,54833,Uttar Pradesh,UP,25.06083,81.09961,14415,178,Asia__Kolkata
IN,CITY,Mānpur,54956,Madhya Pradesh,MP,22.43151,75.62107,6636,567,Asia__Kolkata
IN,CITY,Mānsa,55156,Gujarat,GJ,23.42564,72.65739,29551,94,Asia__Kolkata
IN,CITY,Mānsa,55506,Punjab,PB,29.98844,75.40167,80018,212,Asia__Kolkata
IN,CITY,Mānvi,55485,Karnataka,KA,15.99126,77.05034,41647,361,Asia__Kolkata
IN,CITY,Mānwat,55676,Maharashtra,MH,19.30133,76.49735,30624,435,Asia__Kolkata
IN,CITY,Mānāvadar,55306,Gujarat,GJ,21.49813,70.13775,29105,24,Asia__Kolkata
IN,CITY,Māpuca,54879,Goa,GA,15.59154,73.80898,40122,15,Asia__Kolkata
IN,CITY,Mārahra,55590,Uttar Pradesh,UP,27.7368,78.56891,18873,,Asia__Kolkata
IN,CITY,Mārkāpur,54812,Andhra Pradesh,AP,15.73534,79.26848,63982,,Asia__Kolkata
IN,CITY,Mārāndahalli,55665,Tamil Nadu,TN,12.38826,78.00316,10480,581,Asia__Kolkata
IN,CITY,Mātherān,55432,Maharashtra,MH,18.98281,73.2652,5287,800,Asia__Kolkata
IN,CITY,Māttūr,55771,Tamil Nadu,TN,11.32147,79.20245,5605,,Asia__Kolkata
IN,CITY,Mātābhānga,55566,West Bengal,WB,26.34197,89.21555,22642,50,Asia__Kolkata
IN,CITY,Māvelikara,55577,Kerala,KL,9.25929,76.55642,28300,,Asia__Kolkata
IN,CITY,Māyakonda,55459,Karnataka,KA,14.28894,76.08305,6445,,Asia__Kolkata
IN,CITY,Mīnjūr,54894,Tamil Nadu,TN,13.27951,80.25815,24674,11,Asia__Kolkata
IN,CITY,Mīrganj,55400,Uttar Pradesh,UP,28.54012,79.20817,15335,170,Asia__Kolkata
IN,CITY,Mīrānpur,54959,Uttar Pradesh,UP,29.29026,77.94939,27390,230,Asia__Kolkata
IN,CITY,Mīrānpur Katra,55498,Uttar Pradesh,UP,28.02963,79.66778,29626,,Asia__Kolkata
IN,CITY,Mūdbidri,55445,Karnataka,KA,13.06653,74.99525,30632,147,Asia__Kolkata
IN,CITY,Mūl,55410,Maharashtra,MH,20.06987,79.67826,23984,198,Asia__Kolkata
IN,CITY,Mūlanūr,55364,Tamil Nadu,TN,10.79426,77.7115,12264,238,Asia__Kolkata
IN,CITY,Mūlki,55318,Karnataka,KA,13.09101,74.79353,17259,7,Asia__Kolkata
IN,CITY,Mūndwa,55197,Rajasthan,RJ,27.0631,73.82304,17465,335,Asia__Kolkata
IN,CITY,Mūvattupula,54813,Kerala,KL,9.98493,76.57728,29664,,Asia__Kolkata
IN,CITY,Nabagrām,57154,West Bengal,WB,22.28806,88.50917,34728,5,Asia__Kolkata
IN,ADM2,Nabarangpur,147927,Odisha,OR,19.2333,82.55,1220946,,Asia__Kolkata
IN,CITY,Nabīnagar,54814,Bihar,BR,24.60681,84.12624,20848,138,Asia__Kolkata
IN,ADM2,Nadia,147507,West Bengal,WB,23.25,88.5,5167600,,Asia__Kolkata
IN,CITY,Nadiād,55597,Gujarat,GJ,22.69385,72.86157,202067,35,Asia__Kolkata
IN,CITY,Naduvannūr,55118,Kerala,KL,11.48772,75.77511,24648,,Asia__Kolkata
IN,CITY,Naduvattam,55505,Tamil Nadu,TN,11.48075,76.54365,11674,1953,Asia__Kolkata
IN,CITY,Nadīgaon,55390,Uttar Pradesh,UP,26.10784,79.02283,7597,,Asia__Kolkata
IN,ADM2,Nagaon,147925,Assam,AS,26.35037,92.69225,2823768,,Asia__Kolkata
IN,ADM2,Nagapattinam,147822,Tamil Nadu,TN,10.85,79.74,1616450,,Asia__Kolkata
IN,CITY,Nagar,54876,Rajasthan,RJ,27.42397,77.09922,23546,304,Asia__Kolkata
IN,CITY,Nagar,55039,Himachal Pradesh,HP,32.13808,77.17393,2000,2047,Asia__Kolkata
IN,CITY,Nagari,55191,Andhra Pradesh,AP,13.32139,79.58557,25933,115,Asia__Kolkata
IN,CITY,Nagarukhra,57420,West Bengal,WB,22.94099,88.63701,13548,11,Asia__Kolkata
IN,CITY,Nagda,54929,Madhya Pradesh,MP,23.45834,75.41759,103501,529,Asia__Kolkata
IN,CITY,Nagpur,55092,Maharashtra,MH,21.14631,79.08491,2228018,310,Asia__Kolkata
IN,ADM2,Nagpur Division,147891,Maharashtra,MH,21.14911,79.10748,4653570,,Asia__Kolkata
IN,CITY,Nagrota,55695,Himachal Pradesh,HP,32.0571,76.09139,6125,,Asia__Kolkata
IN,CITY,Nagrām,55226,Uttar Pradesh,UP,26.61872,81.14043,9858,118,Asia__Kolkata
IN,CITY,Nagīna,55050,Uttar Pradesh,UP,29.44433,78.43646,76593,282,Asia__Kolkata
IN,CITY,Naharlagun,57475,Arunachal Pradesh,AR,27.10467,93.69518,26912,,Asia__Kolkata
IN,CITY,Nahorkatiya,55130,Assam,AS,27.28912,95.3418,15548,121,Asia__Kolkata
IN,CITY,Naihāti,55071,West Bengal,WB,22.89396,88.41521,253221,15,Asia__Kolkata
IN,CITY,Naini Tāl,55403,Uttarakhand,UT,29.39743,79.44686,42309,2084,Asia__Kolkata
IN,CITY,Nainpur,55427,Madhya Pradesh,MP,22.42996,80.10561,22336,447,Asia__Kolkata
IN,CITY,Nainwa,54942,Rajasthan,RJ,25.77145,75.84978,16415,291,Asia__Kolkata
IN,CITY,Najafgarh,991384,Delhi,DL,28.60922,76.97982,1365000,,Asia__Kolkata
IN,CITY,Najībābād,55009,Uttar Pradesh,UP,29.61194,78.34274,84006,295,Asia__Kolkata
IN,CITY,Nakodar,55552,Punjab,PB,31.12586,75.47508,32405,222,Asia__Kolkata
IN,CITY,Naksalbāri,55591,West Bengal,WB,26.6827,88.22001,57283,152,Asia__Kolkata
IN,CITY,Nakūr,54868,Uttar Pradesh,UP,29.91964,77.30438,23084,261,Asia__Kolkata
IN,ADM2,Nalbari,147856,Assam,AS,26.5,91.4,771639,,Asia__Kolkata
IN,CITY,Naldurg,55165,Maharashtra,MH,17.81667,76.28182,17261,566,Asia__Kolkata
IN,ADM2,Nalgonda,147501,Telangana,TG,17.16667,79.5,3488809,,Asia__Kolkata
IN,CITY,Nalhāti,55359,West Bengal,WB,24.29704,87.82899,25878,48,Asia__Kolkata
IN,CITY,Naliya,55770,Gujarat,GJ,23.26058,68.82655,10587,19,Asia__Kolkata
IN,ADM2,Namakkal,147738,Tamil Nadu,TN,11.3,78.13,1726601,,Asia__Kolkata
IN,CITY,Nambiyūr,55305,Tamil Nadu,TN,11.35811,77.32115,16126,301,Asia__Kolkata
IN,CITY,Nambutalai,55020,Tamil Nadu,TN,9.72766,79.00707,7914,,Asia__Kolkata
IN,CITY,Namchi,55251,Sikkim,SK,27.16494,88.3638,1147,1315,Asia__Kolkata
IN,CITY,Namli,55582,Madhya Pradesh,MP,23.46115,75.06036,9235,490,Asia__Kolkata
IN,CITY,Nanauta,54840,Uttar Pradesh,UP,29.71215,77.41728,18738,255,Asia__Kolkata
IN,CITY,Nandambakkam,56935,Tamil Nadu,TN,12.97795,80.06781,8540,,Asia__Kolkata
IN,ADM2,Nanded,147511,Maharashtra,MH,18.91667,77.5,3361292,,Asia__Kolkata
IN,CITY,Nandgaon,55691,Uttar Pradesh,UP,27.71102,77.38653,10449,184,Asia__Kolkata
IN,CITY,Nandigāma,55423,Andhra Pradesh,AP,16.7717,80.28596,38219,21,Asia__Kolkata
IN,CITY,Nandikotkūr,55183,Andhra Pradesh,AP,15.85668,78.26569,45343,292,Asia__Kolkata
IN,ADM2,Nandurbar,147798,Maharashtra,MH,21.37,74.2,1648295,,Asia__Kolkata
IN,CITY,Nandyāl,55224,Andhra Pradesh,AP,15.47799,78.4836,165337,203,Asia__Kolkata
IN,CITY,Nangal,55146,Punjab,PB,31.38966,76.37574,48497,326,Asia__Kolkata
IN,CITY,Nangavalli,55408,Tamil Nadu,TN,11.76189,77.89093,9902,385,Asia__Kolkata
IN,CITY,Nangi,57114,West Bengal,WB,22.50833,88.21528,440894,,Asia__Kolkata
IN,CITY,Nangilickondan,57318,Tamil Nadu,TN,12.25539,79.47508,3000,,Asia__Kolkata
IN,CITY,Nanguneri,54899,Tamil Nadu,TN,8.49326,77.65806,6969,141,Asia__Kolkata
IN,CITY,Nanjangūd,55196,Karnataka,KA,12.11764,76.68397,50243,,Asia__Kolkata
IN,CITY,Nannilam,55321,Tamil Nadu,TN,10.87933,79.61062,10180,7,Asia__Kolkata
IN,CITY,Napāsar,55120,Rajasthan,RJ,27.96059,73.55913,21750,,Asia__Kolkata
IN,CITY,Naraina,55275,Rajasthan,RJ,26.79069,75.20608,17048,,Asia__Kolkata
IN,CITY,Naraini,54798,Madhya Pradesh,MP,25.19033,80.475,15077,,Asia__Kolkata
IN,CITY,Narasannapeta,55758,Andhra Pradesh,AP,18.41428,84.04463,24267,,Asia__Kolkata
IN,CITY,Narasapur,55402,Andhra Pradesh,AP,16.43425,81.69845,59306,2,Asia__Kolkata
IN,CITY,Narasaraopet,55048,Andhra Pradesh,AP,16.23488,80.04927,97194,55,Asia__Kolkata
IN,CITY,Narasimharājapura,55216,Karnataka,KA,13.61075,75.512,7775,643,Asia__Kolkata
IN,CITY,Narasingāpuram,55195,Andhra Pradesh,AP,13.60759,79.31652,10875,,Asia__Kolkata
IN,CITY,Narauli,55293,Uttar Pradesh,UP,28.48547,78.71484,17945,186,Asia__Kolkata
IN,CITY,Naraura,54937,Uttar Pradesh,UP,28.20147,78.38723,22432,174,Asia__Kolkata
IN,ADM2,Narayanpur,148010,Chhattisgarh,CT,19.60426,81.08119,139820,,Asia__Kolkata
IN,CITY,Naregal,54927,Karnataka,KA,15.57316,75.80805,17403,628,Asia__Kolkata
IN,CITY,Narela,991401,Delhi,DL,28.85267,77.09288,800000,210,Asia__Kolkata
IN,CITY,Narendranagar,54984,Uttarakhand,UT,30.16173,78.28712,4734,1326,Asia__Kolkata
IN,CITY,Nargund,55142,Karnataka,KA,15.72299,75.38666,33403,,Asia__Kolkata
IN,CITY,Narharpur,54934,Chhattisgarh,CT,20.44892,81.62004,6500,52,Asia__Kolkata
IN,ADM2,Narmada,147992,Gujarat,GJ,21.87377,73.49527,590297,,Asia__Kolkata
IN,CITY,Naroda,55708,Gujarat,GJ,23.07041,72.65702,5366,,Asia__Kolkata
IN,ADM2,Narsimhapur,147509,Madhya Pradesh,MP,22.91667,79.16667,1091854,,Asia__Kolkata
IN,CITY,Narsinghgarh,55741,Madhya Pradesh,MP,23.70758,77.09319,29981,483,Asia__Kolkata
IN,CITY,Narsīpatnam,55600,Andhra Pradesh,AP,17.66709,82.61245,33755,58,Asia__Kolkata
IN,CITY,Narwar,55469,Madhya Pradesh,MP,25.6439,77.9129,16948,,Asia__Kolkata
IN,CITY,Narwāna,54945,Haryana,HR,29.59903,76.11927,55850,213,Asia__Kolkata
IN,CITY,Narāyangarh,55255,Haryana,HR,30.47798,77.12804,20085,294,Asia__Kolkata
IN,CITY,Nashik,55726,Maharashtra,MH,19.99727,73.79096,1289497,660,Asia__Kolkata
IN,ADM2,Nashik Division,147883,Maharashtra,MH,19.98295,73.78942,6107187,,Asia__Kolkata
IN,CITY,Nasrullāhganj,54923,Madhya Pradesh,MP,22.6837,77.27069,18265,288,Asia__Kolkata
IN,CITY,Nasīrābād,55151,Rajasthan,RJ,26.30473,74.73364,51747,429,Asia__Kolkata
IN,CITY,Nattam,55666,Tamil Nadu,TN,10.22776,78.22969,21888,,Asia__Kolkata
IN,CITY,Naugachhia,55609,Bihar,BR,25.38807,87.09906,41247,25,Asia__Kolkata
IN,CITY,Nautanwa,55623,Uttar Pradesh,UP,27.42752,83.41789,32587,89,Asia__Kolkata
IN,CITY,Navadwīp,54794,West Bengal,WB,23.4067,88.36861,111123,14,Asia__Kolkata
IN,CITY,Navalgund,55211,Karnataka,KA,15.55877,75.35305,23208,578,Asia__Kolkata
IN,CITY,Navelim,55553,Goa,GA,15.53333,73.98333,12469,,Asia__Kolkata
IN,CITY,Navi Mumbai,57740,Maharashtra,MH,19.03681,73.01582,2600000,0,Asia__Kolkata
IN,ADM2,Navsari,148021,Gujarat,GJ,20.95,72.92,1329672,,Asia__Kolkata
IN,CITY,Navsāri,991359,Gujarat,GJ,20.94237,72.92467,171109,,Asia__Kolkata
IN,CITY,Nawalgarh,55499,Rajasthan,RJ,27.85161,75.27384,58346,379,Asia__Kolkata
IN,CITY,Nawanshahr,55222,Punjab,PB,31.1245,76.11613,31121,,Asia__Kolkata
IN,CITY,Nawābganj,54963,Uttar Pradesh,UP,26.93129,81.19841,79246,93,Asia__Kolkata
IN,ADM2,Nawāda,147505,Bihar,BR,24.75,85.5,2219146,,Asia__Kolkata
IN,CITY,Nawānshahr,54837,Jammu and Kashmir,JK,32.76505,74.52772,14884,,Asia__Kolkata
IN,CITY,Naya Bāzār,55175,Sikkim,SK,27.13082,88.23972,1035,,Asia__Kolkata
IN,ADM2,Nayagarh District,147939,Odisha,OR,20.13,85.1,962789,,Asia__Kolkata
IN,CITY,Nayāgarh,55086,Odisha,OR,20.12882,85.09626,16001,178,Asia__Kolkata
IN,CITY,Naīgarhi,55467,Madhya Pradesh,MP,24.78686,81.77868,9391,,Asia__Kolkata
IN,CITY,Nedumangād,55221,Kerala,KL,8.60267,77.00139,58278,68,Asia__Kolkata
IN,CITY,Needamangalam,55041,Tamil Nadu,TN,10.77378,79.41875,9125,1,Asia__Kolkata
IN,CITY,Neelankarai,57506,Tamil Nadu,TN,12.9495,80.2592,15688,,Asia__Kolkata
