id,date,prcp,tmax
USC00457773,2013-07-03,0,NA
USC00457773,2013-07-04,0,NA
USC00457773,2013-07-05,0,NA
USC00457773,2013-07-06,0,NA
USC00457773,2013-07-07,0,NA
USC00457773,2013-07-08,0,NA
USC00457773,2013-07-09,0,NA
USC00457773,2013-07-10,0,NA
USC00457773,2013-07-11,0,NA
USC00457773,2013-07-12,0,NA
USC00457773,2013-07-13,0,NA
USC00457773,2013-07-14,0,NA
USC00457773,2013-07-15,0,NA
USC00457773,2013-07-16,0,NA
USC00457773,2013-07-17,18,NA
USC00457773,2013-07-18,3,NA
USC00457773,2013-07-19,0,NA
USC00457773,2013-07-20,3,NA
USC00457773,2013-07-21,0,NA
USC00457773,2013-07-22,0,NA
USC00457773,2013-07-23,0,NA
USC00457773,2013-07-24,0,NA
USC00457773,2013-07-25,0,NA
USC00457773,2013-07-26,0,NA
USC00457773,2013-07-27,0,NA
USC00457773,2013-07-28,0,NA
USC00457773,2013-07-29,0,NA
USC00457773,2013-07-30,0,NA
USC00457773,2013-07-31,0,NA
USC00457773,2013-08-01,0,NA
USC00457773,2013-08-02,15,NA
USC00457773,2013-08-03,5,NA
USC00457773,2013-08-04,0,NA
USC00457773,2013-08-05,0,NA
USC00457773,2013-08-06,0,NA
USC00457773,2013-08-07,0,NA
USC00457773,2013-08-08,0,NA
USC00457773,2013-08-09,0,NA
USC00457773,2013-08-10,0,NA
USC00457773,2013-08-11,0,NA
USC00457773,2013-08-12,0,NA
USC00457773,2013-08-13,0,NA
USC00457773,2013-08-14,0,NA
USC00457773,2013-08-15,30,NA
USC00457773,2013-08-16,5,NA
USC00457773,2013-08-17,0,NA
USC00457773,2013-08-18,0,NA
USC00457773,2013-08-19,0,NA
USC00457773,2013-08-20,0,NA
USC00457773,2013-08-21,0,NA
USC00457773,2013-08-22,0,NA
USC00457773,2013-08-23,0,NA
USC00457773,2013-08-24,0,NA
USC00457773,2013-08-25,0,NA
USC00457773,2013-08-26,13,NA
USC00457773,2013-08-27,10,NA
USC00457773,2013-08-28,117,NA
USC00457773,2013-08-29,89,NA
USC00457773,2013-08-30,216,NA
USC00457773,2013-08-31,5,NA
USC00457773,2013-09-01,3,NA
USC00457773,2013-09-02,0,NA
USC00457773,2013-09-03,53,NA
USC00457773,2013-09-04,20,NA
USC00457773,2013-09-05,419,NA
USC00457773,2013-09-06,3,NA
USC00457773,2013-09-07,0,NA
USC00457773,2013-09-08,0,NA
USC00457773,2013-09-09,0,NA
USC00457773,2013-09-10,0,NA
USC00457773,2013-09-11,0,NA
USC00457773,2013-09-12,0,NA
USC00457773,2013-09-13,3,NA
USC00457773,2013-09-14,5,NA
USC00457773,2013-09-15,3,NA
USC00457773,2013-09-16,94,NA
USC00457773,2013-09-17,NA,NA
USC00457773,2013-09-18,NA,NA
USC00457773,2013-09-19,0,NA
USC00457773,2013-09-20,0,NA
USC00457773,2013-09-21,8,NA
USC00457773,2013-09-22,36,NA
USC00457773,2013-09-23,241,NA
USC00457773,2013-09-24,NA,NA
USC00457773,2013-09-25,NA,NA
USC00457773,2013-09-26,5,NA
USC00457773,2013-09-27,0,NA
USC00457773,2013-09-28,48,NA
USC00457773,2013-09-29,622,NA
USC00457773,2013-09-30,152,NA
USC00457773,2013-10-01,89,NA
USC00457773,2013-10-02,13,NA
USC00457773,2013-10-03,23,NA
USC00457773,2013-10-04,0,NA
USC00457773,2013-10-05,0,NA
USC00457773,2013-10-06,0,NA
USC00457773,2013-10-07,58,NA
USC00457773,2013-10-08,23,NA
USC00457773,2013-10-09,NA,NA
USC00457773,2013-10-10,NA,NA
USC00457773,2013-10-11,23,NA
USC00457773,2013-10-12,36,NA
USC00457773,2013-10-13,NA,NA
USC00457773,2013-10-14,NA,NA
USC00457773,2013-10-15,NA,NA
USC00457773,2013-10-16,NA,NA
USC00457773,2013-10-17,NA,NA
USC00457773,2013-10-18,NA,NA
USC00457773,2013-10-19,NA,NA
USC00457773,2013-10-20,NA,NA
USC00457773,2013-10-21,NA,NA
USC00457773,2013-10-22,0,NA
USC00457773,2013-10-23,8,NA
USC00457773,2013-10-24,3,NA
USC00457773,2013-10-25,5,NA
USC00457773,2013-10-26,3,NA
USC00457773,2013-10-27,8,NA
USC00457773,2013-10-28,NA,NA
USC00457773,2013-10-29,NA,NA
USC00457773,2013-10-30,NA,NA
USC00457773,2013-10-31,43,NA
USC00457773,2013-11-01,3,NA
USC00457773,2013-11-02,132,NA
USC00457773,2013-11-03,33,NA
USC00457773,2013-11-04,0,NA
USC00457773,2013-11-05,28,NA
USC00457773,2013-11-06,33,NA
USC00457773,2013-11-07,107,NA
USC00457773,2013-11-08,305,NA
USC00457773,2013-11-09,10,NA
USC00457773,2013-11-10,NA,NA
USC00457773,2013-11-11,NA,NA
USC00457773,2013-11-12,15,NA
USC00457773,2013-11-13,33,NA
USC00457773,2013-11-14,3,NA
USC00457773,2013-11-15,71,NA
USC00457773,2013-11-16,406,NA
USC00457773,2013-11-17,3,NA
USC00457773,2013-11-18,NA,NA
USC00457773,2013-11-19,NA,NA
USC00457773,2013-11-20,NA,NA
USC00457773,2013-11-21,NA,NA
USC00457773,2013-11-22,0,NA
USC00457773,2013-11-23,10,NA
USC00457773,2013-11-24,0,NA
USC00457773,2013-11-25,0,NA
USC00457773,2013-11-26,0,NA
USC00457773,2013-11-27,0,NA
USC00457773,2013-11-28,0,NA
USC00457773,2013-11-29,0,NA
USC00457773,2013-11-30,25,NA
USC00457773,2013-12-01,135,NA
USC00457773,2013-12-02,NA,NA
USC00457773,2013-12-03,NA,NA
USC00457773,2013-12-04,0,NA
USC00457773,2013-12-05,0,NA
USC00457773,2013-12-06,NA,NA
USC00457773,2013-12-07,NA,NA
USC00457773,2013-12-08,0,NA
USC00457773,2013-12-09,0,NA
USC00457773,2013-12-10,0,NA
USC00457773,2013-12-11,0,NA
USC00457773,2013-12-12,0,NA
USC00457773,2013-12-13,112,NA
USC00457773,2013-12-14,0,NA
USC00457773,2013-12-15,3,NA
USC00457773,2013-12-16,0,NA
USC00457773,2013-12-17,NA,NA
USC00457773,2013-12-18,NA,NA
USC00457773,2013-12-19,NA,NA
USC00457773,2013-12-20,NA,NA
USC00457773,2013-12-21,419,NA
USC00457773,2013-12-22,152,NA
USC00457773,2013-12-23,157,NA
USC00457773,2013-12-24,277,NA
USC00457773,2013-12-25,0,NA
USC00457773,2013-12-26,0,NA
USC00457773,2013-12-27,0,NA
USC00457773,2013-12-28,76,NA
USC00457773,2013-12-29,8,NA
USC00457773,2013-12-30,0,NA
USC00457773,2013-12-31,30,NA
USC00457773,2014-01-01,3,NA
USC00457773,2014-01-02,30,NA
USC00457773,2014-01-03,279,NA
USC00457773,2014-01-04,10,NA
USC00457773,2014-01-05,0,NA
USC00457773,2014-01-06,0,NA
USC00457773,2014-01-07,53,NA
USC00457773,2014-01-08,53,NA
USC00457773,2014-01-09,160,NA
USC00457773,2014-01-10,NA,NA
USC00457773,2014-01-11,NA,NA
USC00457773,2014-01-12,368,NA
USC00457773,2014-01-13,25,NA
USC00457773,2014-01-14,0,NA
USC00457773,2014-01-15,NA,NA
USC00457773,2014-01-16,NA,NA
USC00457773,2014-01-17,13,NA
USC00457773,2014-01-18,NA,NA
USC00457773,2014-01-19,NA,NA
USC00457773,2014-01-20,0,NA
USC00457773,2014-01-21,NA,NA
USC00457773,2014-01-22,NA,NA
