cityId,stationId,countryCode,type,cityName,regionName,regionCode,lat,lon,population,elevation,timezone,culture_hIndex,culture_cIndex,culture_rIndex,culture_aIndex,culture_iIndex,culture_nIndex,formations_mIndex,beach_Index,image_links
1552,AR000875850,AR,CITY,Lanús,Buenos Aires Province,B,-34.70252,-58.3955,459263,9.0,America__Argentina__Buenos_Aires,2,1138,929,1130,6,36,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1552.jpg
1619,AR000875850,AR,CITY,Merlo,Buenos Aires Province,B,-34.666270000000004,-58.72926999999999,244168,16.0,America__Argentina__Buenos_Aires,2,127,402,34,0,2,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1619.jpg
1598,AR000875850,AR,CITY,Morón,Buenos Aires Province,B,-34.6509,-58.61956,319934,26.0,America__Argentina__Buenos_Aires,2,532,871,179,0,8,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1598.jpg
132294,AR000875850,AR,CITY,Partido de Escobar,Buenos Aires Province,B,-34.33333,-58.75,178155,,America__Argentina__Buenos_Aires,2,42,82,8,0,6,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132294.jpg
132690,AR000875850,AR,CITY,Partido de Hurlingham,Buenos Aires Province,B,-34.58694000000001,-58.62806,176505,,America__Argentina__Buenos_Aires,2,677,892,205,0,6,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132690.jpg
132674,AR000875850,AR,CITY,Partido de Ituzaingó,Buenos Aires Province,B,-34.66028,-58.66611,158121,,America__Argentina__Buenos_Aires,2,261,630,94,0,2,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132674.jpg
132267,AR000875850,AR,CITY,Partido de José C. Paz,Buenos Aires Province,B,-34.5198,-58.76556,230208,,America__Argentina__Buenos_Aires,2,97,362,26,0,6,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132267.jpg
132260,AR000875850,AR,CITY,Partido de Lanús,Buenos Aires Province,B,-34.66667,-58.41667,212152,,America__Argentina__Buenos_Aires,2,1114,930,1171,6,50,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132260.jpg
132681,AR000875850,AR,CITY,Partido de Malvinas Argentinas,Buenos Aires Province,B,-34.50771,-58.6956,320000,,America__Argentina__Buenos_Aires,2,153,514,86,0,10,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132681.jpg
132258,AR000875850,AR,CITY,Partido de Merlo,Buenos Aires Province,B,-34.66583,-58.72828000000001,524207,,America__Argentina__Buenos_Aires,2,448,888,174,0,4,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132258.jpg
132254,AR000875850,AR,CITY,Partido de Moreno,Buenos Aires Province,B,-34.6349,-58.79059,462242,,America__Argentina__Buenos_Aires,2,85,300,22,0,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132254.jpg
132238,AR000875850,AR,CITY,Partido de Morón,Buenos Aires Province,B,-34.65139,-58.62194,321109,,America__Argentina__Buenos_Aires,2,515,857,176,0,8,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132238.jpg
132200,AR000875850,AR,CITY,Partido de San Fernando,Buenos Aires Province,B,-34.44542,-58.54202,163462,,America__Argentina__Buenos_Aires,2,407,486,131,0,70,0,6,https://travelapiimages.s3.eu-central-1.amazonaws.com/132200.jpg
132208,AR000875850,AR,CITY,Partido de San Isidro,Buenos Aires Province,B,-34.49009,-58.53028000000001,292878,,America__Argentina__Buenos_Aires,2,1030,738,355,0,78,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132208.jpg
132669,AR000875850,AR,CITY,Partido de San Miguel,Buenos Aires Province,B,-34.55209,-58.69171,253086,,America__Argentina__Buenos_Aires,2,196,668,54,0,4,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132669.jpg
132188,AR000875850,AR,CITY,Partido de Tigre,Buenos Aires Province,B,-34.42058,-58.58279,380709,,America__Argentina__Buenos_Aires,2,169,390,74,0,62,0,7,https://travelapiimages.s3.eu-central-1.amazonaws.com/132188.jpg
132191,AR000875850,AR,CITY,Partido de Tres de Febrero,Buenos Aires Province,B,-34.59987,-58.56606,343774,,America__Argentina__Buenos_Aires,2,962,893,680,6,58,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132191.jpg
1187,AR000875850,AR,CITY,Pilar,Buenos Aires Province,B,-34.458659999999995,-58.9142,226517,18.0,America__Argentina__Buenos_Aires,2,26,78,12,2,10,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1187.jpg
1642,AR000875850,AR,CITY,San Isidro,Buenos Aires Province,B,-34.4721,-58.52708000000001,292878,15.0,America__Argentina__Buenos_Aires,2,860,640,287,0,80,0,4,https://travelapiimages.s3.eu-central-1.amazonaws.com/1642.jpg
1048,AR000875850,AR,CITY,San Justo,Buenos Aires Province,B,-34.6766,-58.56058,136604,26.0,America__Argentina__Buenos_Aires,2,988,866,435,6,14,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1048.jpg
1197476,AR000875850,AR,CITY,San Miguel,Buenos Aires Province,B,-34.54335,-58.71229,157532,28.0,America__Argentina__Buenos_Aires,2,162,588,52,0,4,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1197476.jpg
1892,ARM00087593,AR,CITY,Berisso,Buenos Aires Province,B,-34.8735,-57.88303000000001,101123,6.0,America__Argentina__Buenos_Aires,2,132,151,84,0,6,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1892.jpg
