regionCode,regionName,countryCode,culture_hIndexMean,culture_hIndexMin,culture_hIndexMax,culture_cIndexMean,culture_cIndexMin,culture_cIndexMax,culture_rIndexMean,culture_rIndexMin,culture_rIndexMax,culture_aIndexMean,culture_aIndexMin,culture_aIndexMax,culture_iIndexMean,culture_iIndexMin,culture_iIndexMax,culture_nIndexMean,culture_nIndexMin,culture_nIndexMax,formations_mIndexMean,formations_mIndexMin,formations_mIndexMax,formations_rIndexMean,formations_rIndexMin,formations_rIndexMax,beach_IndexMean,beach_IndexMin,beach_IndexMax
MX_CMX,Mexico City,MX,831.0,781,910,869.0,807,911,880.0,872,892,213.0,210,218,0.0,0,0,96.0,80,124,68.0,46,110,0.0,0,0,0.0,0,0
MX_COA,Coahuila,MX,62.0,10,146,49.0,23,121,74.0,30,110,4.0,0,10,0.0,0,0,3.0,0,6,3.0,0,6,0.0,0,0,0.0,0,0
MX_DUR,Durango,MX,71.0,71,71,59.0,59,59,62.0,62,62,8.0,8,8,0.0,0,0,7.0,7,7,43.0,43,43,0.0,0,0,0.0,0,0
MX_GRO,Guerrero,MX,2.0,2,2,10.0,10,10,17.0,17,17,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
MX_HID,Hidalgo,MX,49.0,44,58,44.0,26,81,96.0,91,99,3.0,0,6,2.0,2,3,127.0,108,138,5.0,2,6,0.0,0,0,0.0,0,0
MX_JAL,Jalisco,MX,138.0,6,270,140.0,2,279,367.0,18,716,15.0,4,26,0.0,0,0,7.0,0,14,24.0,0,47,0.0,0,0,0.0,0,0
MX_MIC,Michoacán,MX,30.0,4,57,58.0,18,99,58.0,29,86,2.0,0,3,0.0,0,0,10.0,8,11,3.0,0,6,0.0,0,0,0.0,0,0
MX_NLE,Nuevo León,MX,126.0,101,154,310.0,281,338,374.0,307,421,8.0,6,10,0.0,0,0,50.0,22,99,74.0,22,168,0.0,0,0,0.0,0,0
MX_OAX,Oaxaca,MX,82.0,79,85,129.0,127,131,93.0,91,95,74.0,72,76,0.0,0,0,8.0,8,8,2.0,2,2,0.0,0,0,0.0,0,0
MX_PUE,Puebla,MX,116.0,40,225,136.0,10,224,269.0,76,542,24.0,16,43,0.0,0,0,29.0,11,79,64.0,24,268,0.0,0,0,0.0,0,0
MX_ROO,Quintana Roo,MX,39.0,39,39,20.0,20,20,58.0,58,58,2.0,2,2,0.0,0,0,2.0,2,2,0.0,0,0,0.0,0,0,0.0,0,0
MX_SIN,Sinaloa,MX,38.0,38,38,33.0,33,33,30.0,30,30,0.0,0,0,0.0,0,0,24.0,24,24,0.0,0,0,0.0,0,0,21.0,21,21
MX_TAB,Tabasco,MX,104.0,104,104,85.0,85,85,88.0,88,88,6.0,6,6,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
MX_TAM,Tamaulipas,MX,46.0,27,89,59.0,24,88,80.0,10,176,24.0,0,55,0.0,0,0,4.0,0,11,2.0,0,8,0.0,0,0,0.0,0,1
MX_VER,Veracruz,MX,55.0,4,110,54.0,2,114,82.0,0,168,1.0,0,4,0.0,0,0,22.0,0,44,10.0,0,43,0.0,0,0,2.0,0,9
MX_YUC,Yucatán,MX,227.0,227,227,123.0,123,123,421.0,421,421,135.0,135,135,0.0,0,0,3.0,3,3,0.0,0,0,0.0,0,0,0.0,0,0
NG_AB,Abia State,NG,0.0,0,0,0.0,0,0,26.0,26,26,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
NG_KN,Kano State,NG,15.0,15,15,8.0,8,8,80.0,80,80,0.0,0,0,0.0,0,0,5.0,5,5,37.0,37,37,0.0,0,0,0.0,0,0
NG_KW,Kwara State,NG,0.0,0,0,0.0,0,0,4.0,4,4,0.0,0,0,0.0,0,0,0.0,0,0,2.0,2,2,0.0,0,0,0.0,0,0
NG_LA,Lagos,NG,15.0,13,17,42.0,39,43,94.0,76,110,12.0,12,12,0.0,0,0,9.0,9,9,0.0,0,0,0.0,0,0,3.0,0,9
NG_NI,Niger State,NG,0.0,0,0,0.0,0,0,7.0,7,7,0.0,0,0,0.0,0,0,0.0,0,0,4.0,4,4,0.0,0,0,0.0,0,0
NG_OY,Oyo State,NG,4.0,4,4,0.0,0,0,40.0,40,40,0.0,0,0,0.0,0,0,0.0,0,0,52.0,52,52,0.0,0,0,0.0,0,0
NG_RI,Rivers State,NG,4.0,3,5,10.0,8,11,156.0,69,243,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
NL_DR,Drenthe,NL,298.0,282,313,126.0,124,128,136.0,129,143,498.0,454,541,60.0,54,66,49.0,47,51,3.0,3,3,0.0,0,0,0.0,0,0
NL_FL,Flevoland,NL,470.0,437,502,288.0,287,290,168.0,161,175,2224.0,2079,2370,24.0,24,24,191.0,190,192,24.0,24,24,0.0,0,0,11.0,8,14
NL_FR,Friesland,NL,378.0,378,378,475.0,475,475,582.0,582,582,2990.0,2990,2990,294.0,294,294,50.0,50,50,0.0,0,0,0.0,0,0,2.0,2,2
NL_GE,Gelderland,NL,634.0,470,742,434.0,208,644,408.0,221,715,2145.0,1043,2919,147.0,94,176,142.0,35,322,20.0,6,51,0.0,0,0,6.0,0,17
NL_GR,Groningen,NL,895.0,876,914,575.0,574,576,532.0,530,533,2960.0,2958,2962,239.0,239,239,39.0,39,39,2.0,2,2,0.0,0,0,2.0,2,3
NL_LI,Limburg,NL,939.0,522,1330,549.0,342,748,1074.0,691,1457,2090.0,1194,3000,226.0,103,342,143.0,97,187,15.0,0,31,6.0,0,13,0.0,0,1
NL_NB,North Brabant,NL,545.0,352,776,535.0,402,689,612.0,514,715,2620.0,1752,2963,192.0,108,276,71.0,55,110,2.0,0,6,0.0,0,0,1.0,0,3
NL_NH,North Holland,NL,718.0,244,1316,1037.0,284,1401,967.0,474,1760,2913.0,2805,2992,452.0,182,820,184.0,48,364,26.0,0,91,0.0,0,0,6.0,1,13
NL_OV,Overijssel,NL,338.0,258,407,448.0,361,526,295.0,280,326,2250.0,1479,2930,126.0,122,134,69.0,67,70,5.0,2,8,0.0,0,0,0.0,0,1
NL_UT,Utrecht,NL,1151.0,680,1629,1025.0,640,1396,811.0,518,1110,2952.0,2902,2982,145.0,130,174,99.0,89,120,6.0,0,15,0.0,0,0,1.0,0,3
NL_ZH,South Holland,NL,816.0,117,1227,970.0,143,1381,1015.0,467,1609,2833.0,1785,2988,547.0,302,1038,101.0,31,241,1.0,0,3,0.0,0,0,4.0,0,16
NO_03,Oslo,NO,948.0,948,948,1137.0,1137,1137,798.0,798,798,1834.0,1834,1834,118.0,118,118,606.0,606,606,276.0,276,276,0.0,0,0,61.0,61,61
NO_11,Rogaland,NO,234.0,234,234,224.0,224,224,231.0,231,231,33.0,33,33,0.0,0,0,229.0,229,229,77.0,77,77,0.0,0,0,13.0,13,13
NO_50,Trøndelag,NO,234.0,234,234,324.0,324,324,197.0,197,197,137.0,137,137,6.0,6,6,54.0,54,54,45.0,45,45,0.0,0,0,2.0,2,2
NO_OV,Overijssel,NO,249.0,200,333,497.0,194,649,227.0,156,263,223.0,175,319,15.0,12,22,200.0,165,267,151.0,79,188,1.0,0,2,4.0,2,7
NP_1,Central Region,NP,25.0,25,25,13.0,13,13,94.0,94,94,5.0,5,5,0.0,0,0,32.0,32,32,0.0,0,0,0.0,0,0,0.0,0,0
NP_3,Western Region,NP,326.0,290,362,386.0,371,401,800.0,786,814,28.0,26,30,0.0,0,0,118.0,8,228,23.0,18,28,0.0,0,0,1.0,0,2
NZ_AUK,Auckland Region,NZ,87.0,40,144,226.0,73,345,911.0,826,955,103.0,4,163,5.0,0,8,302.0,138,574,92.0,55,155,3.0,0,4,29.0,0,78
NZ_CAN,Canterbury Region,NZ,157.0,157,157,287.0,287,287,494.0,494,494,128.0,128,128,6.0,6,6,183.0,183,183,36.0,36,36,0.0,0,0,0.0,0,0
NZ_WGN,Wellington Region,NZ,185.0,183,186,333.0,326,339,395.0,374,428,448.0,426,462,19.0,12,22,102.0,88,110,55.0,42,62,0.0,0,0,6.0,0,10
OM_BS,Al Batinah North Governorate,OM,6.0,6,6,14.0,14,14,14.0,14,14,0.0,0,0,0.0,0,0,4.0,4,4,0.0,0,0,0.0,0,0,0.0,0,0
OM_MA,Muscat Governorate,OM,42.0,18,72,93.0,38,145,218.0,112,302,7.0,4,10,0.0,0,0,25.0,6,43,11.0,0,23,0.0,0,0,5.0,2,9
OM_ZA,Ad Dhahirah Governorate,OM,24.0,24,24,0.0,0,0,166.0,166,166,6.0,6,6,0.0,0,0,0.0,0,0,28.0,28,28,0.0,0,0,0.0,0,0
OM_ZU,Dhofar Governorate,OM,18.0,18,18,12.0,12,12,72.0,72,72,4.0,4,4,0.0,0,0,10.0,10,10,46.0,46,46,0.0,0,0,0.0,0,0
PE_ARE,Arequipa,PE,101.0,101,101,159.0,159,159,231.0,231,231,28.0,28,28,0.0,0,0,43.0,43,43,33.0,33,33,0.0,0,0,0.0,0,0
PE_CAL,Callao,PE,282.0,282,282,631.0,631,631,869.0,869,869,215.0,215,215,6.0,6,6,61.0,61,61,43.0,43,43,0.0,0,0,22.0,22,22
PE_CUS,Cusco,PE,140.0,140,140,161.0,161,161,152.0,152,152,91.0,91,91,0.0,0,0,50.0,50,50,68.0,68,68,0.0,0,0,0.0,0,0
PE_ICA,Ica,PE,32.0,23,41,10.0,0,19,35.0,30,40,14.0,10,18,0.0,0,0,8.0,6,9,0.0,0,0,0.0,0,0,0.0,0,0
