cityId,searchRadius,culture_hIndex,culture_cIndex,culture_rIndex,culture_aIndex,culture_iIndex,culture_nIndex
7690,20000,44,45,265,0,0,6
7686,30000,218,457,484,94,16,192
7555,30000,257,493,591,128,8,209
7039,20000,11,4,28,0,0,0
7538,20000,22,60,118,6,0,47
7726,20000,19,34,63,0,8,90
7698,20000,192,437,456,92,14,152
7558,20000,148,421,402,90,14,93
7032,50000,149,186,400,18,0,24
7666,20000,36,116,109,20,0,33
7066,20000,16,68,78,8,0,12
7476,20000,10,10,30,0,0,0
8893,20000,0,0,35,0,0,0
134362,20000,2,6,20,2,6,0
9794,20000,166,395,504,58,6,17
8151,20000,8,2,8,0,0,10
138592,20000,86,169,393,0,0,22
134357,20000,30,42,121,20,6,24
135033,30000,85,213,243,65,0,36
9388,20000,19,12,51,9,0,464
9034,20000,12,8,41,0,0,0
9377,30000,26,104,194,4,0,7
137645,20000,16,14,12,2,4,0
136088,30000,60,83,299,30,0,2
9393,20000,2,4,28,0,0,2
134985,20000,0,0,0,0,0,0
134283,20000,4,16,30,0,0,0
9857,20000,21,17,22,0,2,3
9537,20000,38,46,136,6,0,24
9050,20000,20,14,40,0,0,2
9485,20000,4,12,26,0,0,22
9761,20000,36,47,158,0,0,0
9480,20000,4,10,16,0,0,0
137931,20000,10,17,34,0,0,2
9906,20000,2,0,6,0,0,0
9899,20000,8,23,42,2,0,34
138392,20000,8,20,38,0,0,8
134397,20000,0,0,0,0,0,0
8466,20000,0,0,4,0,0,0
9773,20000,12,18,4,0,0,0
9913,20000,12,17,117,14,0,62
136663,20000,14,18,56,0,0,0
134658,20000,28,128,115,53,0,0
8965,20000,0,0,0,0,0,0
9459,20000,29,14,302,8,0,63
9920,20000,0,0,6,0,0,0
9685,20000,2,60,26,0,0,0
9311,20000,257,334,633,710,12,28
8971,20000,26,22,108,0,0,2
9205,20000,68,171,724,19,0,433
9672,50000,186,452,759,61,8,68
8542,50000,85,215,261,65,0,52
134992,20000,40,22,102,13,0,38
9396,20000,12,56,204,0,0,4
9173,20000,16,19,38,0,0,0
9499,20000,59,72,315,16,0,21
9043,20000,24,24,44,6,0,38
9346,20000,14,28,96,8,4,22
134273,20000,14,3,36,0,0,6
