cityId,searchRadius,culture_hIndex,culture_cIndex,culture_rIndex,culture_aIndex,culture_iIndex,culture_nIndex
55990,20000,8,16,42,0,0,3
147670,20000,0,0,5,0,0,0
147675,20000,0,0,0,0,0,0
147929,20000,0,0,0,1,0,0
56053,20000,0,0,0,1,0,0
147717,20000,0,0,25,0,0,0
57274,20000,120,282,393,69,0,10
57553,20000,0,9,21,0,0,6
147705,20000,0,0,4,0,0,3
57232,20000,0,0,12,0,0,0
57243,20000,19,19,70,24,0,0
147702,50000,3,1,29,3,0,13
57073,20000,1,0,0,0,0,0
57233,20000,45,36,123,49,0,3
57239,20000,0,8,13,0,0,0
147698,20000,2,0,0,0,0,0
56084,30000,29,19,39,0,0,6
147683,30000,27,19,33,0,0,6
55799,20000,8,4,4,0,0,0
55976,20000,0,0,0,0,0,0
56673,20000,40,29,82,25,0,3
56708,50000,43,96,181,29,0,30
147961,20000,2,4,0,0,0,4
55925,20000,0,0,0,0,0,0
54935,50000,188,391,932,29,5,51
147656,20000,0,0,0,0,0,0
56058,20000,0,6,0,0,0,0
55827,20000,7,15,59,0,0,7
56365,20000,0,0,4,0,0,4
147659,20000,28,2,21,4,0,0
147669,20000,0,0,0,0,0,0
147660,20000,0,0,11,0,0,0
56050,20000,31,16,26,0,0,0
56391,20000,2,0,3,0,0,0
56019,20000,0,0,15,0,0,0
56481,20000,4,10,40,0,0,9
55949,20000,2,2,2,3,0,0
56590,30000,108,152,969,46,6,19
147665,30000,15,56,284,13,0,6
147785,20000,0,17,48,0,0,6
147667,20000,0,16,24,0,0,0
147657,30000,16,2,24,11,0,0
56382,20000,118,283,368,69,0,10
147658,20000,0,0,1,1,0,3
147663,20000,0,0,0,0,0,0
147646,20000,9,6,20,0,0,9
147651,30000,6,4,9,1,0,0
147854,50000,23,44,124,0,0,4
56283,20000,14,38,103,0,0,0
56699,30000,18,35,172,7,0,32
147998,30000,18,35,171,7,0,38
56267,20000,6,2,2,1,0,3
56361,50000,1047,485,1008,311,12,26
57701,20000,851,360,817,225,12,19
147653,20000,13,6,23,5,0,0
147649,20000,0,2,2,0,0,0
56326,20000,2,8,33,0,0,0
56545,20000,1,0,3,0,0,0
147815,20000,4,0,0,0,0,0
147648,20000,0,0,0,0,0,3
56297,20000,0,0,5,0,0,0
147650,20000,0,0,5,6,0,0
147963,20000,2,0,11,6,0,3
55825,20000,2,0,2,6,0,3
55926,20000,44,75,109,13,0,12
147903,20000,4,0,18,0,0,0
55975,30000,13,35,65,0,0,9
56404,50000,279,436,963,142,72,260
147631,20000,0,7,33,0,0,0
56731,30000,6,9,47,12,0,3
56121,20000,32,36,92,5,0,4
56387,20000,0,1,17,12,0,6
147628,30000,72,138,992,35,6,16
147884,20000,2,31,68,0,0,0
147633,20000,0,0,2,0,0,0
147626,20000,3,0,0,0,0,0
56339,50000,1042,479,1005,335,12,29
147635,20000,0,0,0,0,0,0
147836,30000,23,26,88,9,0,0
56175,20000,30,2,50,0,0,0
147795,20000,0,0,10,0,0,0
147638,20000,26,2,50,0,0,0
55997,20000,7,0,9,0,0,0
56390,20000,0,0,16,0,0,0
147860,20000,6,16,32,0,0,0
57266,20000,6,16,33,0,0,0
57454,20000,30,113,131,0,0,38
55833,20000,12,29,87,18,0,3
56657,20000,2,26,59,1,0,50
55847,20000,0,2,0,0,0,0
55974,20000,0,2,2,0,0,0
56773,20000,84,17,114,97,0,6
56364,20000,34,10,223,0,0,171
55811,20000,0,1,0,0,0,0
56588,50000,1026,465,1011,281,12,22
147614,20000,0,1,0,0,0,0
56511,20000,0,0,12,6,0,0
56739,20000,0,0,0,0,0,0
147839,20000,0,4,0,0,0,4
56230,20000,0,0,2,1,0,0
56331,20000,0,0,0,0,0,0
55971,50000,28,4,40,19,0,0
147619,30000,0,0,24,9,0,0
56330,20000,0,2,0,3,0,3
57117,20000,0,4,10,0,0,0
56579,20000,6,17,62,0,0,4
56022,20000,0,5,28,0,0,0
147617,20000,9,3,86,0,0,0
147610,20000,0,0,2,0,0,0
56040,20000,0,0,0,0,0,0
56143,30000,25,49,243,21,0,16
147611,30000,17,35,66,24,0,0
147609,30000,444,197,495,149,6,10
56465,30000,13,35,89,0,0,6
55958,50000,36,8,35,6,0,4
55956,20000,2,6,12,6,0,0
147627,20000,22,32,131,18,0,3
56429,20000,0,0,4,0,0,3
57004,20000,4,8,7,2,0,0
56238,20000,3,0,17,0,0,18
147831,20000,0,0,0,0,0,0
55897,20000,6,0,4,0,0,0
55951,20000,0,0,1,0,0,0
56562,20000,4,0,21,0,0,3
147591,20000,9,29,174,3,0,0
147770,50000,6,10,33,0,0,7
56682,20000,2,3,12,0,0,9
147597,20000,2,0,12,0,0,3
56130,20000,6,6,12,0,0,0
56377,20000,0,4,12,12,0,0
147604,20000,0,4,12,12,0,0
147600,20000,0,0,0,0,0,0
147606,20000,3,2,17,0,0,0
56132,20000,3,2,29,0,0,0
56345,20000,94,19,156,97,0,6
56667,20000,1,12,45,0,0,4
56094,30000,30,50,185,2,0,0
56003,50000,292,463,933,28,4,26
147592,50000,296,453,931,32,4,26
56763,20000,13,21,41,0,0,0
56059,20000,29,78,86,13,0,6
56249,20000,19,19,64,12,0,0
147605,50000,147,325,523,84,0,10
56640,20000,2,0,0,0,0,0
56425,20000,0,0,1,0,0,0
56161,20000,6,8,91,0,0,0
55821,20000,16,4,21,3,0,6
147599,50000,22,26,154,0,0,0
56718,20000,61,0,56,18,0,3
56688,20000,2,3,3,0,0,0
147602,50000,0,4,21,0,0,17
56655,20000,0,0,10,0,0,0
57259,20000,2,4,4,0,0,0
147594,50000,88,60,109,21,0,18
147579,30000,5,6,63,6,0,6
56342,20000,9,4,6,0,0,0
147758,20000,4,0,8,0,0,0
56666,50000,5,0,12,1,0,0
147584,50000,3,0,13,1,0,3
147589,20000,1,0,3,0,0,0
147582,20000,20,30,74,2,0,0
56237,20000,9,29,41,0,0,7
56225,50000,13,6,71,6,0,4
55867,20000,4,0,2,4,0,0
147587,20000,3,0,17,0,0,0
56651,20000,0,0,2,0,0,6
55947,20000,4,0,0,4,0,3
147574,30000,40,13,57,24,0,3
147577,50000,4,0,13,0,0,0
56032,20000,4,0,4,0,0,0
147575,20000,0,0,0,0,0,0
