cityId,searchRadius,population,hCountLevel0,hCountLevel1,hCountLevel2,hCountLevel3,hCountLevel7,cCountLevel0,cCountLevel1,cCountLevel2,cCountLevel3,cCountLevel7,rCountLevel0,rCountLevel1,rCountLevel2,rCountLevel3,rCountLevel7,aCountLevel0,aCountLevel1,aCountLevel2,aCountLevel3,aCountLevel7,iCountLevel0,iCountLevel1,iCountLevel2,iCountLevel3,iCountLevel7,nCountLevel0,nCountLevel1,nCountLevel2,nCountLevel3,nCountLevel7
49957,30000,511345,76,28,5,0,0,35,33,4,0,0,90,406,2,2,0,493,4,1,2,0,0,0,0,0,0,67,67,12,0,0
50779,20000,229127,65,24,3,0,0,32,32,4,0,0,135,364,1,0,0,493,4,1,2,0,0,0,0,0,0,35,35,5,0,0
49839,20000,382920,64,24,3,0,0,33,32,4,0,0,91,405,2,2,0,493,4,1,2,0,0,0,0,0,0,33,33,6,0,0
50780,20000,165424,37,22,1,2,0,7,2,0,0,0,46,73,0,0,0,5,3,1,0,0,0,0,0,0,0,57,57,0,0,0
50775,20000,324043,10,16,1,1,0,4,2,0,0,0,36,150,1,0,0,0,0,0,0,0,0,0,0,0,0,85,85,0,0,0
50041,20000,137966,22,13,0,0,1,9,3,0,0,0,27,88,1,0,0,15,1,0,0,0,0,1,0,0,0,22,22,3,0,0
49828,20000,125799,75,7,0,0,0,3,4,0,0,0,127,125,0,1,0,99,21,0,0,0,0,0,0,0,0,13,13,1,0,0
50560,20000,134190,10,0,2,0,0,2,1,0,0,0,14,98,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,2,0,0
50255,20000,190289,12,25,2,4,0,5,23,0,0,0,116,213,0,1,0,17,8,0,2,0,0,1,0,0,0,91,91,0,1,0
50724,50000,1234742,167,57,6,0,1,45,37,4,1,0,90,406,2,2,0,493,4,1,2,0,0,1,0,0,0,261,261,19,1,0
50178,20000,250000,5,3,2,0,0,2,0,0,0,0,5,13,0,0,0,1,1,1,0,0,0,0,0,0,0,88,88,0,0,0
50187,20000,359615,66,23,3,0,0,33,32,4,0,0,92,404,2,2,0,493,4,1,2,0,0,0,0,0,0,39,39,7,0,0
50528,20000,160181,37,31,0,0,0,29,12,0,0,0,145,273,0,0,0,122,3,0,0,0,1,0,0,0,0,35,35,0,0,0
